        Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
   164  7250  1.50 -4.00  2.00  1.25  0.00 -18.123 -18.699 -18.184 -25.239  -0.083   0.160   0.089   0.073
   165  7250  2.00 -4.00  2.00  1.25  0.00 -18.088 -18.646 -18.168 -25.239  -0.099   0.145   0.125   0.109
   166  7250  2.50 -4.00  2.00  1.25  0.00 -18.065 -18.580 -18.147 -25.239  -0.120   0.103   0.170   0.154
   167  7250  3.00 -4.00  2.00  1.25  0.00 -18.059 -18.517 -18.117 -25.239  -0.150   0.047   0.203   0.187
   168  7250  3.50 -4.00  2.00  1.25  0.00 -18.065 -18.456 -18.082 -25.239  -0.185  -0.020   0.230   0.214
   169  7250  4.00 -4.00  2.00  1.25  0.00 -18.082 -18.396 -18.046 -25.239  -0.222  -0.096   0.253   0.237
   170  7250  4.50 -4.00  2.00  1.25  0.00 -18.109 -18.341 -18.011 -25.239  -0.256  -0.177   0.273   0.257
   171  7250  5.00 -4.00  2.00  1.25  0.00 -18.143 -18.295 -17.981 -25.239  -0.286  -0.257   0.290   0.274
   172  7500  0.50 -4.00  2.00  1.25  0.00 -18.376 -18.874 -18.349 -25.386  -0.065   0.081   0.078   0.062
   173  7500  1.00 -4.00  2.00  1.25  0.00 -18.360 -18.903 -18.342 -25.386  -0.072   0.126   0.043   0.027
   174  7500  1.50 -4.00  2.00  1.25  0.00 -18.317 -18.882 -18.333 -25.386  -0.082   0.149   0.054   0.038
   175  7500  2.00 -4.00  2.00  1.25  0.00 -18.276 -18.844 -18.319 -25.386  -0.096   0.153   0.079   0.063
   176  7500  2.50 -4.00  2.00  1.25  0.00 -18.243 -18.788 -18.302 -25.386  -0.113   0.132   0.117   0.101
   177  7500  3.00 -4.00  2.00  1.25  0.00 -18.224 -18.721 -18.279 -25.386  -0.135   0.084   0.162   0.146
   178  7500  3.50 -4.00  2.00  1.25  0.00 -18.222 -18.656 -18.247 -25.386  -0.167   0.023   0.195   0.179
