
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B    B-V(J)  B-V(H) 
  173  7500  1.00 -1.50  4.00  1.25  0.00 -18.390 -18.915 -18.364 -25.386  -0.048   0.108   0.052   0.036
  174  7500  1.50 -1.50  4.00  1.25  0.00 -18.339 -18.898 -18.358 -25.386  -0.055   0.143   0.063   0.047
  175  7500  2.00 -1.50  4.00  1.25  0.00 -18.293 -18.864 -18.347 -25.386  -0.065   0.156   0.087   0.071
  176  7500  2.50 -1.50  4.00  1.25  0.00 -18.256 -18.814 -18.333 -25.386  -0.080   0.145   0.122   0.106
  177  7500  3.00 -1.50  4.00  1.25  0.00 -18.234 -18.751 -18.314 -25.386  -0.098   0.106   0.167   0.151
  178  7500  3.50 -1.50  4.00  1.25  0.00 -18.229 -18.690 -18.287 -25.386  -0.126   0.052   0.200   0.184
  179  7500  4.00 -1.50  4.00  1.25  0.00 -18.236 -18.631 -18.255 -25.386  -0.158  -0.014   0.227   0.211
  180  7500  4.50 -1.50  4.00  1.25  0.00 -18.255 -18.575 -18.221 -25.386  -0.192  -0.090   0.250   0.234
  181  7500  5.00 -1.50  4.00  1.25  0.00 -18.284 -18.523 -18.188 -25.386  -0.225  -0.169   0.268   0.252
  182  7750  1.00 -1.50  4.00  1.25  0.00 -18.585 -19.058 -18.492 -25.529  -0.063   0.055   0.037   0.021
  183  7750  1.50 -1.50  4.00  1.25  0.00 -18.536 -19.061 -18.490 -25.529  -0.065   0.108   0.033   0.017
  184  7750  2.00 -1.50  4.00  1.25  0.00 -18.482 -19.036 -18.484 -25.529  -0.071   0.138   0.051   0.035
  185  7750  2.50 -1.50  4.00  1.25  0.00 -18.435 -18.996 -18.472 -25.529  -0.083   0.147   0.079   0.063
  186  7750  3.00 -1.50  4.00  1.25  0.00 -18.402 -18.942 -18.456 -25.529  -0.099   0.127   0.117   0.101
  187  7750  3.50 -1.50  4.00  1.25  0.00 -18.386 -18.877 -18.435 -25.529  -0.120   0.080   0.162   0.146
  188  7750  4.00 -1.50  4.00  1.25  0.00 -18.385 -18.814 -18.405 -25.529  -0.150   0.019   0.194   0.178
  189  7750  4.50 -1.50  4.00  1.25  0.00 -18.399 -18.754 -18.371 -25.529  -0.184  -0.054   0.221   0.205
  190  7750  5.00 -1.50  4.00  1.25  0.00 -18.424 -18.697 -18.336 -25.529  -0.219  -0.136   0.242   0.226
  191  8000  1.00 -1.50  4.00  1.25  0.00 -18.757 -19.161 -18.599 -25.667  -0.094  -0.014   0.042   0.026
  192  8000  1.50 -1.50  4.00  1.25  0.00 -18.718 -19.197 -18.606 -25.667  -0.087   0.061   0.012  -0.004
  193  8000  2.00 -1.50  4.00  1.25  0.00 -18.662 -19.185 -18.605 -25.667  -0.088   0.106   0.023   0.007
  194  8000  2.50 -1.50  4.00  1.25  0.00 -18.609 -19.154 -18.597 -25.667  -0.096   0.130   0.047   0.031
  195  8000  3.00 -1.50  4.00  1.25  0.00 -18.565 -19.110 -18.584 -25.667  -0.109   0.131   0.078   0.062
  196  8000  3.50 -1.50  4.00  1.25  0.00 -18.537 -19.052 -18.567 -25.667  -0.125   0.103   0.119   0.103
  197  8000  4.00 -1.50  4.00  1.25  0.00 -18.529 -18.987 -18.545 -25.667  -0.148   0.048   0.162   0.146
