
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  168  7250  3.50  0.20  2.00  1.25  0.00 -17.708 -17.687 -18.604 -18.548 -18.234   1.641   1.641   0.186   0.186   0.895   0.894
  169  7250  4.00  0.20  2.00  1.25  0.00 -17.811 -17.790 -18.560 -18.515 -18.215   1.506   1.506   0.200   0.185   0.735   0.734
  170  7250  4.50  0.20  2.00  1.25  0.00 -17.908 -17.887 -18.518 -18.485 -18.197   1.379   1.378   0.211   0.185   0.585   0.584
  171  7250  5.00  0.20  2.00  1.25  0.00 -17.998 -17.976 -18.480 -18.459 -18.180   1.264   1.263   0.220   0.187   0.446   0.445
  172  7500  0.50  0.20  2.00  1.25  0.00 -17.538 -17.517 -18.971 -18.799 -18.428   2.063   2.062   0.129   0.127   1.547   1.547
  173  7500  1.00  0.20  2.00  1.25  0.00 -17.478 -17.457 -19.043 -18.841 -18.422   2.165   2.164   0.081   0.145   1.710   1.710
  174  7500  1.50  0.20  2.00  1.25  0.00 -17.513 -17.491 -19.030 -18.838 -18.419   2.127   2.127   0.081   0.156   1.651   1.651
  175  7500  2.00  0.20  2.00  1.25  0.00 -17.580 -17.558 -18.996 -18.824 -18.414   2.047   2.046   0.090   0.167   1.531   1.530
  176  7500  2.50  0.20  2.00  1.25  0.00 -17.665 -17.643 -18.951 -18.803 -18.407   1.941   1.940   0.103   0.178   1.377   1.376
  177  7500  3.00  0.20  2.00  1.25  0.00 -17.765 -17.744 -18.887 -18.770 -18.398   1.807   1.806   0.128   0.184   1.180   1.180
  178  7500  3.50  0.20  2.00  1.25  0.00 -17.869 -17.847 -18.822 -18.732 -18.385   1.665   1.665   0.153   0.187   0.985   0.984
  179  7500  4.00  0.20  2.00  1.25  0.00 -17.971 -17.950 -18.769 -18.697 -18.366   1.528   1.527   0.170   0.188   0.812   0.811
  180  7500  4.50  0.20  2.00  1.25  0.00 -18.071 -18.049 -18.720 -18.663 -18.346   1.394   1.394   0.183   0.188   0.649   0.648
