
       Teff log g  [M]a Vturb  l/H   small     big    beta
  340 21000  4.50 -2.00  2.00  0.00 -20.854 -20.972   2.670
  341 21000  5.00 -2.00  2.00  0.00 -20.812 -20.956   2.706
  342 22000  3.00 -2.00  2.00  0.00 -21.091 -21.130   2.563
  343 22000  3.50 -2.00  2.00  0.00 -21.041 -21.103   2.594
  344 22000  4.00 -2.00  2.00  0.00 -20.995 -21.080   2.626
  345 22000  4.50 -2.00  2.00  0.00 -20.952 -21.062   2.659
  346 22000  5.00 -2.00  2.00  0.00 -20.911 -21.046   2.694
  347 23000  3.00 -2.00  2.00  0.00 -21.190 -21.224   2.556
  348 23000  3.50 -2.00  2.00  0.00 -21.136 -21.193   2.588
  349 23000  4.00 -2.00  2.00  0.00 -21.089 -21.168   2.618
  350 23000  4.50 -2.00  2.00  0.00 -21.046 -21.149   2.650
  351 23000  5.00 -2.00  2.00  0.00 -21.005 -21.132   2.683
  352 24000  3.00 -2.00  2.00  0.00 -21.289 -21.319   2.550
  353 24000  3.50 -2.00  2.00  0.00 -21.228 -21.281   2.581
  354 24000  4.00 -2.00  2.00  0.00 -21.179 -21.253   2.611
  355 24000  4.50 -2.00  2.00  0.00 -21.136 -21.232   2.642
  356 24000  5.00 -2.00  2.00  0.00 -21.095 -21.216   2.674
  357 25000  3.00 -2.00  2.00  0.00 -21.393 -21.417   2.543
  358 25000  3.50 -2.00  2.00  0.00 -21.319 -21.368   2.575
  359 25000  4.00 -2.00  2.00  0.00 -21.267 -21.337   2.604
  360 25000  4.50 -2.00  2.00  0.00 -21.223 -21.314   2.634
  361 25000  5.00 -2.00  2.00  0.00 -21.182 -21.297   2.665
  362 26000  3.00 -2.00  2.00  0.00 -21.505 -21.523   2.535
  363 26000  3.50 -2.00  2.00  0.00 -21.411 -21.455   2.570
  364 26000  4.00 -2.00  2.00  0.00 -21.354 -21.419   2.598
  365 26000  4.50 -2.00  2.00  0.00 -21.308 -21.394   2.628
  366 26000  5.00 -2.00  2.00  0.00 -21.267 -21.376   2.658
  367 27000  3.50 -2.00  2.00  0.00 -21.506 -21.545   2.564
  368 27000  4.00 -2.00  2.00  0.00 -21.441 -21.501   2.593
  369 27000  4.50 -2.00  2.00  0.00 -21.392 -21.474   2.621
  370 27000  5.00 -2.00  2.00  0.00 -21.350 -21.454   2.651
  371 28000  3.50 -2.00  2.00  0.00 -21.605 -21.639   2.557
  372 28000  4.00 -2.00  2.00  0.00 -21.528 -21.585   2.587
  373 28000  4.50 -2.00  2.00  0.00 -21.476 -21.553   2.615
